questionId,questionText,intAreaId,Interest Area Name
207,Learning how things grow and stay alive.,1,"Agriculture, Food & Natural Resources"
208,Making the best use of the earth's natural resources.,1,"Agriculture, Food & Natural Resources"
209,Hunting or fishing.,1,"Agriculture, Food & Natural Resources"
210,Protecting the environment or taking care of animals.,1,"Agriculture, Food & Natural Resources"
211,Being outdoors.,1,"Agriculture, Food & Natural Resources"
212,"Planning, budgeting, and keeping records.",1,"Agriculture, Food & Natural Resources"
213,Operating and/or repairing machines.,1,"Agriculture, Food & Natural Resources"
214,Reading and following blueprints and/or instructions.,2,Architecture & Construction
215,Picturing in my mind what a finished product will look like.,2,Architecture & Construction
216,Working with my hands.,2,Architecture & Construction
217,Performing work that requires precise steps.,2,Architecture & Construction
218,Solving technical problems.,2,Architecture & Construction
219,Visiting and learning from historical or beautiful buildings.,2,Architecture & Construction
220,Following logical step-by-step procedures.,2,Architecture & Construction
221,Using my imagination to communicate new information to others.,3,"Arts, A/V Technology & Communications"
222,Performing in front of others.,3,"Arts, A/V Technology & Communications"
223,Reading and writing.,3,"Arts, A/V Technology & Communications"
224,Playing a musical instrument.,3,"Arts, A/V Technology & Communications"
225,"Performing creative, artistic activities.",3,"Arts, A/V Technology & Communications"
226,Using video and recording technology.,3,"Arts, A/V Technology & Communications"
227,Designing brochures and posters.,3,"Arts, A/V Technology & Communications"
228,"Performing routine, organized activities but can be flexible.",4,Business Management & Administration
229,Working with numbers and detailed information.,4,Business Management & Administration
230,Being the leader in a group.,4,Business Management & Administration
231,Making business contact with people.,4,Business Management & Administration
232,Working with computer programs.,4,Business Management & Administration
233,Creating reports and communicating ideas.,4,Business Management & Administration
234,Planning my work and follow instructions without close supervision.,4,Business Management & Administration
235,Communicating with different types of people.,5,Education & Training
236,Help others with their homework or to learn new things.,5,Education & Training
237,Going to school.,5,Education & Training
238,Directing and planning activities for others.,5,Education & Training
239,Handling several responsibilities at once.,5,Education & Training
240,Acquiring new information.,5,Education & Training
241,Helping people overcome their challenges.,5,Education & Training
242,Working with numbers.,6,Finance
243,Working to meet a deadline.,6,Finance
244,Making predictions based on existing facts.,6,Finance
245,Having a framework of rules by which to operate.,6,Finance
246,Analyzing financial information and interpret it to others.,6,Finance
247,Handling money with accuracy and reliability.,6,Finance
248,Taking pride in the way I dress and look.,6,Finance
249,Being involved in politics.,7,Government & Public Administration
250,"Negotiating, defending, and debating ideas and topics.",7,Government & Public Administration
251,Planning activities and working cooperatively with others.,7,Government & Public Administration
252,Working with details.,7,Government & Public Administration
253,Performing a variety of duties that may change often.,7,Government & Public Administration
254,Analyzing information and interpreting it to others.,7,Government & Public Administration
255,Traveling and seeing things that are new to me.,7,Government & Public Administration
256,Working under pressure.,8,Health Science
257,Helping sick people and animals.,8,Health Science
258,Making decisions based on logic and information.,8,Health Science
259,Participating in health and science classes.,8,Health Science
260,Responding quickly and calmly in emergencies.,8,Health Science
261,Working as a member of a team.,8,Health Science
262,Following guidelines precisely and meet strict standards of accuracy.,8,Health Science
263,Investigating new places and activities.,9,Hospitality & Tourism
264,Working with all ages and types of people.,9,Hospitality & Tourism
265,Organizing activities in which other people enjoy themselves.,9,Hospitality & Tourism
266,Having a flexible schedule.,9,Hospitality & Tourism
267,Helping people make up their minds.,9,Hospitality & Tourism
268,"Communicating easily, tactfully, and courteously.",9,Hospitality & Tourism
269,Learning about other cultures.,9,Hospitality & Tourism
270,"Caring about people, their needs, and their problems.",10,Human Services
271,Participating in community services and/or volunteering.,10,Human Services
272,Listening to other people's viewpoints.,10,Human Services
273,Working with people from preschool age to old age.,10,Human Services
274,Thinking of new ways to do things.,10,Human Services
275,Making friends with different kinds of people.,10,Human Services
316,Being socially aware or advocating for the rights of others.,10,Human Services
276,Reasoning clearly and logically to solve complex problems.,11,Information Technology
277,"Using machines, techniques, and processes.",11,Information Technology
278,Reading technical materials and/or diagrams.,11,Information Technology
279,Solving technical problems.,11,Information Technology
280,Adapting to change.,11,Information Technology
281,Playing video games and figure out how they work.,11,Information Technology
282,Concentrating for long periods without being distracted.,11,Information Technology
283,Working under pressure or in the face of danger.,12,"Law, Public Safety, Corrections & Security"
284,Making decisions based on my own observations.,12,"Law, Public Safety, Corrections & Security"
285,Interacting with other people.,12,"Law, Public Safety, Corrections & Security"
286,Respecting rules and regulations.,12,"Law, Public Safety, Corrections & Security"
287,Debating and winning arguments.,12,"Law, Public Safety, Corrections & Security"
288,Observing and analyzing people's behavior.,12,"Law, Public Safety, Corrections & Security"
317,Helping people in need or standing up for the rights of others,12,"Law, Public Safety, Corrections & Security"
289,Working with my hands.,13,Manufacturing
290,Putting things together.,13,Manufacturing
291,"Doing routine, organized and accurate work.",13,Manufacturing
292,Performing activities that produce tangible results.,13,Manufacturing
293,Applying math to work out solutions.,13,Manufacturing
294,Using hand and power tools and operate equipment/machinery.,13,Manufacturing
295,Visualizing objects in three dimensions from flat drawings.,13,Manufacturing
296,Shopping and going to the mall.,14,"Marketing, Sales & Service"
297,Being in charge.,14,"Marketing, Sales & Service"
298,Making displays and promote ideas.,14,"Marketing, Sales & Service"
299,Giving presentations and enjoy public speaking.,14,"Marketing, Sales & Service"
300,Persuading people to buy products or to participate in activities.,14,"Marketing, Sales & Service"
301,Communicating my ideas to other people.,14,"Marketing, Sales & Service"
302,Taking advantage of opportunities to make extra money.,14,"Marketing, Sales & Service"
303,Interpreting formulas.,15,"Science, Technology, Engineering & Mathematics"
304,Finding the answers to questions.,15,"Science, Technology, Engineering & Mathematics"
305,Working in a laboratory.,15,"Science, Technology, Engineering & Mathematics"
306,Figuring out how things work and investigate new things.,15,"Science, Technology, Engineering & Mathematics"
307,Exploring new technology.,15,"Science, Technology, Engineering & Mathematics"
308,Experimenting to find the best way to do something.,15,"Science, Technology, Engineering & Mathematics"
309,Paying attention to details and help things be precise.,15,"Science, Technology, Engineering & Mathematics"
310,Traveling.,16,"Transportation, Distribution & Logistics"
311,Seeing well and having quick reflexes.,16,"Transportation, Distribution & Logistics"
312,Designing efficient processes.,16,"Transportation, Distribution & Logistics"
313,Anticipating needs and preparing to meet them.,16,"Transportation, Distribution & Logistics"
314,Driving or riding.,16,"Transportation, Distribution & Logistics"
315,Moving things from one place to another.,16,"Transportation, Distribution & Logistics"
318,Working with machines or automotive technology.,16,"Transportation, Distribution & Logistics"
